# seed  cv_score  training_mse  validation_mse  training_time(s)
8.066000000000000000e+03 2.769238578811606732e+00 2.668224848735849086e+00 3.143150297403193960e+00 1.262716054916381836e+00
3.771000000000000000e+03 2.777597564778443218e+00 2.665190868437678606e+00 3.343439294009166840e+00 4.405212402343750000e-01
5.684000000000000000e+03 2.784107391970929601e+00 2.755752677436757558e+00 3.428904301248546727e+00 8.541193008422851562e-01
9.926000000000000000e+03 2.785865011598549046e+00 2.672173420955848755e+00 3.061932480018336289e+00 1.538072586059570312e+00
5.980000000000000000e+03 2.796308316685164996e+00 2.722648066154941926e+00 3.390674507293469642e+00 9.380915164947509766e-01
2.440000000000000000e+02 2.799460075911685664e+00 2.719816146664213896e+00 3.289761587933522247e+00 6.238920688629150391e-01
7.092000000000000000e+03 2.799705870838942623e+00 2.722511242721526337e+00 3.232308378912196467e+00 1.054342508316040039e+00
5.507000000000000000e+03 2.801114777040812687e+00 2.686813109283408885e+00 3.188914682727448380e+00 8.240025043487548828e-01
7.316000000000000000e+03 2.814715665900634711e+00 2.738782511724916269e+00 3.397255118343724956e+00 5.222928524017333984e-01
9.700000000000000000e+01 2.818251265408579176e+00 2.713577570444567488e+00 3.364607173883002567e+00 1.037030220031738281e+00
8.190000000000000000e+03 2.818445318658930887e+00 2.727412985822271541e+00 3.279946717020083113e+00 8.539090156555175781e-01
3.248000000000000000e+03 2.818739204921739905e+00 2.727873371598141805e+00 3.147946460701182225e+00 1.552096128463745117e+00
8.237000000000000000e+03 2.821885226861566398e+00 2.790007919589688079e+00 3.377888301626924328e+00 5.372619628906250000e-01
7.131000000000000000e+03 2.823644337859504638e+00 2.765991259930775659e+00 3.125991871935109856e+00 9.624350070953369141e-01
2.794000000000000000e+03 2.824478710992148311e+00 2.727535671472741008e+00 3.329004549196383334e+00 1.038792133331298828e+00
1.114000000000000000e+03 2.824486955459398096e+00 2.742735383856956588e+00 3.165418194141299324e+00 6.259453296661376953e-01
4.732000000000000000e+03 2.840753428387867707e+00 2.724372771924165715e+00 3.275333914641280320e+00 5.561645030975341797e-01
6.261000000000000000e+03 2.840974271209582902e+00 2.772648142054595866e+00 3.462767331775528312e+00 1.071682691574096680e+00
2.687000000000000000e+03 2.850543203713329810e+00 2.742885661467555636e+00 3.241520280274687416e+00 1.339655637741088867e+00
8.191000000000000000e+03 2.852199165437281358e+00 2.869141513668528098e+00 3.570308316966188222e+00 7.511961460113525391e-01
1.582000000000000000e+03 2.854701385132110136e+00 2.723789050353070174e+00 3.429118629324090950e+00 4.208667278289794922e-01
7.537000000000000000e+03 2.855927837018664484e+00 2.761801215667535558e+00 3.208245256262054479e+00 7.328939437866210938e-01
3.593000000000000000e+03 2.858641031766612883e+00 2.801760812970845560e+00 3.460439902494157671e+00 1.039269924163818359e+00
1.849000000000000000e+03 2.859472257854380750e+00 2.772384039028256808e+00 3.272719475025394953e+00 5.221641063690185547e-01
1.761000000000000000e+03 2.859739724905650871e+00 2.768958222790715240e+00 3.219374354237479530e+00 2.188401699066162109e+00
8.646000000000000000e+03 2.860240022982306840e+00 2.774113107645416854e+00 3.410572148980075546e+00 5.348484516143798828e-01
4.548000000000000000e+03 2.863626296231234658e+00 2.778277147713620998e+00 3.409618644073925786e+00 1.061931610107421875e+00
5.880000000000000000e+03 2.873052698701973995e+00 2.776619261917382619e+00 3.397197180077637935e+00 6.365630626678466797e-01
8.059000000000000000e+03 2.883870993042234154e+00 2.843338949532026039e+00 3.464174506140923260e+00 5.269801616668701172e-01
3.631000000000000000e+03 2.887252510168815789e+00 2.812082800914267988e+00 3.465045260270448235e+00 6.290824413299560547e-01
4.233000000000000000e+03 2.889679329269832841e+00 2.838301832357358556e+00 3.484366595193496785e+00 6.539125442504882812e-01
1.389000000000000000e+03 2.889883982937287765e+00 2.808770583405602483e+00 3.393187033499676097e+00 8.345425128936767578e-01
6.732000000000000000e+03 2.890645965545266982e+00 2.835642342501712321e+00 3.453325739547971729e+00 2.286648035049438477e+00
3.176000000000000000e+03 2.898949968353034201e+00 2.854317004035253014e+00 3.527783209681981003e+00 1.488330364227294922e+00
7.740000000000000000e+02 2.899416068714749439e+00 2.792780311259747350e+00 3.195872035014910129e+00 8.539056777954101562e-01
1.892000000000000000e+03 2.902450860836247593e+00 2.840964719113286296e+00 3.231811224866999233e+00 1.682184219360351562e+00
9.944000000000000000e+03 2.907139184687121958e+00 2.813152604276514701e+00 3.381760926223503994e+00 8.343615531921386719e-01
5.760000000000000000e+02 2.907563704658248760e+00 2.815788174080000150e+00 3.248085140235542401e+00 1.281454086303710938e+00
8.175000000000000000e+03 2.910267241318858389e+00 2.868946697592639872e+00 3.522584712870763468e+00 8.584160804748535156e-01
4.879000000000000000e+03 2.919371573294716971e+00 2.870852808005271761e+00 3.574763269189348946e+00 1.269154071807861328e+00
4.731000000000000000e+03 2.919407587099381196e+00 2.819942544796643080e+00 3.233336370147822159e+00 1.581810235977172852e+00
5.789000000000000000e+03 2.922447540824840484e+00 2.880400644161164703e+00 3.457844914336042574e+00 1.674803972244262695e+00
3.648000000000000000e+03 2.923391393851574982e+00 2.806670085342515719e+00 3.273460643358129030e+00 1.890780448913574219e+00
3.414000000000000000e+03 2.924774746126581615e+00 2.887983526650987010e+00 3.484150916361119954e+00 1.138896703720092773e+00
8.283000000000000000e+03 2.926836648499176796e+00 2.892114953457016302e+00 3.489170336178915033e+00 1.679013252258300781e+00
4.623000000000000000e+03 2.929830396657721714e+00 2.916285912542884606e+00 3.622316533825158835e+00 1.061689615249633789e+00
2.088000000000000000e+03 2.929865840599367832e+00 2.834954001087642617e+00 3.421604930183368420e+00 1.179097890853881836e+00
8.763000000000000000e+03 2.940052812138752802e+00 2.875746551721463096e+00 3.309368470682920282e+00 1.383336782455444336e+00
8.990000000000000000e+02 2.941185774080941506e+00 2.866895819353004082e+00 3.407885611219678257e+00 8.380696773529052734e-01
