,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
3140,2018-2019,Albemarle County,Albemarle High,4.0,F,N,Y,Y,10,60.0,40.0
3144,2018-2019,Albemarle County,Albemarle High,5.0,F,N,Y,Y,2,100.0,0.0
3160,2018-2019,Albemarle County,Albemarle High,2.0,M,N,Y,Y,2,100.0,0.0
3168,2018-2019,Albemarle County,Albemarle High,4.0,M,N,Y,Y,9,44.44444444444444,55.55555555555556
3172,2018-2019,Albemarle County,Albemarle High,5.0,M,N,Y,Y,1,100.0,0.0
3173,2018-2019,Albemarle County,Monticello High,5.0,M,N,Y,Y,2,100.0,0.0
3224,2018-2019,Albemarle County,Albemarle High,4.0,M,Y,Y,Y,3,100.0,0.0
3228,2018-2019,Albemarle County,Albemarle High,5.0,M,Y,Y,Y,1,100.0,0.0
1185,2018-2019,Alexandria City,T.C. Williams High,2.0,F,N,N,N,9,88.88888888888889,0.0
1186,2018-2019,Alexandria City,T.C. Williams High,3.0,F,N,N,N,32,93.75,3.125
1187,2018-2019,Alexandria City,T.C. Williams High,4.0,F,N,N,N,20,85.0,15.0
1188,2018-2019,Alexandria City,T.C. Williams High,5.0,F,N,N,N,92,100.0,0.0
1192,2018-2019,Alexandria City,T.C. Williams High,2.0,M,N,N,N,10,80.0,10.0
1193,2018-2019,Alexandria City,T.C. Williams High,3.0,M,N,N,N,21,85.71428571428571,4.761904761904762
1194,2018-2019,Alexandria City,T.C. Williams High,4.0,M,N,N,N,22,81.81818181818181,18.181818181818183
1195,2018-2019,Alexandria City,T.C. Williams High,5.0,M,N,N,N,76,98.6842105263158,0.0
1200,2018-2019,Alexandria City,T.C. Williams High,3.0,F,Y,N,N,1,100.0,0.0
1201,2018-2019,Alexandria City,T.C. Williams High,4.0,F,Y,N,N,1,100.0,0.0
1202,2018-2019,Alexandria City,T.C. Williams High,5.0,F,Y,N,N,7,85.71428571428571,14.285714285714286
1207,2018-2019,Alexandria City,T.C. Williams High,3.0,M,Y,N,N,6,100.0,0.0
1208,2018-2019,Alexandria City,T.C. Williams High,4.0,M,Y,N,N,4,100.0,0.0
1209,2018-2019,Alexandria City,T.C. Williams High,5.0,M,Y,N,N,11,100.0,0.0
1214,2018-2019,Alexandria City,T.C. Williams High,3.0,F,N,Y,N,2,50.0,0.0
1215,2018-2019,Alexandria City,T.C. Williams High,4.0,F,N,Y,N,9,44.44444444444444,55.55555555555556
1216,2018-2019,Alexandria City,T.C. Williams High,5.0,F,N,Y,N,2,100.0,0.0
1220,2018-2019,Alexandria City,T.C. Williams High,2.0,M,N,Y,N,1,100.0,0.0
1221,2018-2019,Alexandria City,T.C. Williams High,3.0,M,N,Y,N,3,66.66666666666667,33.333333333333336
1222,2018-2019,Alexandria City,T.C. Williams High,4.0,M,N,Y,N,13,15.384615384615385,38.46153846153846
1223,2018-2019,Alexandria City,T.C. Williams High,5.0,M,N,Y,N,3,100.0,0.0
1241,2018-2019,Alexandria City,T.C. Williams High,2.0,F,N,N,Y,8,100.0,0.0
