,SCHOOL_YEAR,DIV_NAME,SCH_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
1438,2010-2011,Appomattox County,Appomattox County High,M,5.0,Y,N,N,6,100.0,0.0
1440,2010-2011,Appomattox County,Appomattox County High,M,5.0,Y,Y,N,2,50.0,50.0
2548,2010-2011,Arlington County,Wakefield High,F,2.0,N,N,N,4,100.0,0.0
2549,2010-2011,Arlington County,Wakefield High,F,2.0,N,N,Y,2,100.0,0.0
2550,2010-2011,Arlington County,Wakefield High,F,2.0,N,Y,N,4,100.0,0.0
2551,2010-2011,Arlington County,Wakefield High,F,2.0,N,Y,Y,10,90.0,10.0
2554,2010-2011,Arlington County,Wakefield High,F,2.0,Y,Y,N,1,100.0,0.0
2556,2010-2011,Arlington County,Wakefield High,F,3.0,N,N,N,23,82.6086956521739,13.043478260869565
2558,2010-2011,Arlington County,Wakefield High,F,3.0,N,Y,N,16,93.75,0.0
2559,2010-2011,Arlington County,Wakefield High,F,3.0,N,Y,Y,4,75.0,25.0
2560,2010-2011,Arlington County,Wakefield High,F,3.0,Y,N,N,4,75.0,0.0
2562,2010-2011,Arlington County,Wakefield High,F,3.0,Y,Y,N,1,100.0,0.0
2564,2010-2011,Arlington County,Wakefield High,F,4.0,N,N,N,27,70.37037037037037,14.814814814814815
2565,2010-2011,Arlington County,Wakefield High,F,4.0,N,N,Y,9,22.22222222222222,66.66666666666667
2566,2010-2011,Arlington County,Wakefield High,F,4.0,N,Y,N,33,81.81818181818181,15.151515151515152
2567,2010-2011,Arlington County,Wakefield High,F,4.0,N,Y,Y,18,44.44444444444444,50.0
2568,2010-2011,Arlington County,Wakefield High,F,4.0,Y,N,N,5,80.0,0.0
2570,2010-2011,Arlington County,Wakefield High,F,4.0,Y,Y,N,3,66.66666666666667,33.333333333333336
2572,2010-2011,Arlington County,Wakefield High,F,5.0,N,N,N,18,94.44444444444444,0.0
2574,2010-2011,Arlington County,Wakefield High,F,5.0,N,Y,N,2,100.0,0.0
2575,2010-2011,Arlington County,Wakefield High,F,5.0,N,Y,Y,1,100.0,0.0
2612,2010-2011,Arlington County,Wakefield High,M,2.0,N,N,N,3,100.0,0.0
2613,2010-2011,Arlington County,Wakefield High,M,2.0,N,N,Y,13,38.46153846153846,46.15384615384615
2614,2010-2011,Arlington County,Wakefield High,M,2.0,N,Y,N,4,100.0,0.0
2615,2010-2011,Arlington County,Wakefield High,M,2.0,N,Y,Y,7,57.142857142857146,28.571428571428573
2616,2010-2011,Arlington County,Wakefield High,M,2.0,Y,N,N,2,50.0,50.0
2617,2010-2011,Arlington County,Wakefield High,M,2.0,Y,N,Y,1,100.0,0.0
2618,2010-2011,Arlington County,Wakefield High,M,2.0,Y,Y,N,1,100.0,0.0
2620,2010-2011,Arlington County,Wakefield High,M,3.0,N,N,N,23,86.95652173913044,8.695652173913043
2621,2010-2011,Arlington County,Wakefield High,M,3.0,N,N,Y,7,85.71428571428571,14.285714285714286
2622,2010-2011,Arlington County,Wakefield High,M,3.0,N,Y,N,11,81.81818181818181,9.090909090909092
2623,2010-2011,Arlington County,Wakefield High,M,3.0,N,Y,Y,1,100.0,0.0
2624,2010-2011,Arlington County,Wakefield High,M,3.0,Y,N,N,12,100.0,0.0
2626,2010-2011,Arlington County,Wakefield High,M,3.0,Y,Y,N,2,100.0,0.0
2628,2010-2011,Arlington County,Wakefield High,M,4.0,N,N,N,29,79.3103448275862,17.24137931034483
2629,2010-2011,Arlington County,Wakefield High,M,4.0,N,N,Y,20,20.0,60.0
2630,2010-2011,Arlington County,Wakefield High,M,4.0,N,Y,N,20,70.0,30.0
2631,2010-2011,Arlington County,Wakefield High,M,4.0,N,Y,Y,15,40.0,53.333333333333336
2632,2010-2011,Arlington County,Wakefield High,M,4.0,Y,N,N,10,70.0,30.0
2633,2010-2011,Arlington County,Wakefield High,M,4.0,Y,N,Y,1,0.0,100.0
2634,2010-2011,Arlington County,Wakefield High,M,4.0,Y,Y,N,12,83.33333333333333,16.666666666666668
2635,2010-2011,Arlington County,Wakefield High,M,4.0,Y,Y,Y,3,100.0,0.0
2636,2010-2011,Arlington County,Wakefield High,M,5.0,N,N,N,26,88.46153846153847,7.6923076923076925
2637,2010-2011,Arlington County,Wakefield High,M,5.0,N,N,Y,2,100.0,0.0
2640,2010-2011,Arlington County,Wakefield High,M,5.0,Y,N,N,2,100.0,0.0
2676,2010-2011,Arlington County,Washington-Lee High,F,2.0,N,N,N,16,100.0,0.0
2677,2010-2011,Arlington County,Washington-Lee High,F,2.0,N,N,Y,4,75.0,25.0
2678,2010-2011,Arlington County,Washington-Lee High,F,2.0,N,Y,N,8,100.0,0.0
2679,2010-2011,Arlington County,Washington-Lee High,F,2.0,N,Y,Y,8,100.0,0.0
2684,2010-2011,Arlington County,Washington-Lee High,F,3.0,N,N,N,10,90.0,10.0
2685,2010-2011,Arlington County,Washington-Lee High,F,3.0,N,N,Y,2,50.0,0.0
2686,2010-2011,Arlington County,Washington-Lee High,F,3.0,N,Y,N,13,76.92307692307692,15.384615384615385
2687,2010-2011,Arlington County,Washington-Lee High,F,3.0,N,Y,Y,3,100.0,0.0
2688,2010-2011,Arlington County,Washington-Lee High,F,3.0,Y,N,N,1,100.0,0.0
2690,2010-2011,Arlington County,Washington-Lee High,F,3.0,Y,Y,N,6,83.33333333333333,16.666666666666668
2692,2010-2011,Arlington County,Washington-Lee High,F,4.0,N,N,N,24,95.83333333333333,4.166666666666667
2693,2010-2011,Arlington County,Washington-Lee High,F,4.0,N,N,Y,6,33.333333333333336,33.333333333333336
2694,2010-2011,Arlington County,Washington-Lee High,F,4.0,N,Y,N,24,95.83333333333333,4.166666666666667
2695,2010-2011,Arlington County,Washington-Lee High,F,4.0,N,Y,Y,21,61.904761904761905,33.333333333333336
2696,2010-2011,Arlington County,Washington-Lee High,F,4.0,Y,N,N,3,100.0,0.0
2698,2010-2011,Arlington County,Washington-Lee High,F,4.0,Y,Y,N,2,100.0,0.0
2700,2010-2011,Arlington County,Washington-Lee High,F,5.0,N,N,N,71,98.59154929577464,0.0
2701,2010-2011,Arlington County,Washington-Lee High,F,5.0,N,N,Y,2,100.0,0.0
2702,2010-2011,Arlington County,Washington-Lee High,F,5.0,N,Y,N,3,66.66666666666667,0.0
2703,2010-2011,Arlington County,Washington-Lee High,F,5.0,N,Y,Y,1,0.0,0.0
2704,2010-2011,Arlington County,Washington-Lee High,F,5.0,Y,N,N,7,100.0,0.0
2706,2010-2011,Arlington County,Washington-Lee High,F,5.0,Y,Y,N,1,100.0,0.0
2716,2010-2011,Arlington County,Washington-Lee High,F,99.0,N,N,N,12,100.0,0.0
2718,2010-2011,Arlington County,Washington-Lee High,F,99.0,N,Y,N,1,100.0,0.0
2740,2010-2011,Arlington County,Washington-Lee High,M,2.0,N,N,N,9,88.88888888888889,11.11111111111111
2741,2010-2011,Arlington County,Washington-Lee High,M,2.0,N,N,Y,3,33.333333333333336,66.66666666666667
2742,2010-2011,Arlington County,Washington-Lee High,M,2.0,N,Y,N,5,100.0,0.0
2743,2010-2011,Arlington County,Washington-Lee High,M,2.0,N,Y,Y,6,100.0,0.0
2744,2010-2011,Arlington County,Washington-Lee High,M,2.0,Y,N,N,1,100.0,0.0
2747,2010-2011,Arlington County,Washington-Lee High,M,2.0,Y,Y,Y,1,100.0,0.0
2748,2010-2011,Arlington County,Washington-Lee High,M,3.0,N,N,N,19,89.47368421052632,10.526315789473685
2749,2010-2011,Arlington County,Washington-Lee High,M,3.0,N,N,Y,3,100.0,0.0
2750,2010-2011,Arlington County,Washington-Lee High,M,3.0,N,Y,N,10,100.0,0.0
2751,2010-2011,Arlington County,Washington-Lee High,M,3.0,N,Y,Y,2,50.0,50.0
2752,2010-2011,Arlington County,Washington-Lee High,M,3.0,Y,N,N,5,100.0,0.0
2754,2010-2011,Arlington County,Washington-Lee High,M,3.0,Y,Y,N,4,75.0,25.0
2756,2010-2011,Arlington County,Washington-Lee High,M,4.0,N,N,N,29,82.75862068965517,13.793103448275861
2757,2010-2011,Arlington County,Washington-Lee High,M,4.0,N,N,Y,11,63.63636363636363,18.181818181818183
2758,2010-2011,Arlington County,Washington-Lee High,M,4.0,N,Y,N,17,94.11764705882354,0.0
